"No.","Time","Source","Destination","Protocol","Length","Info"
"10909","180.450068","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10910","180.450068","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10911","180.451452","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10912","180.451639","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10913","180.451639","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10914","180.451891","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10915","180.453324","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10916","180.453649","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10917","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10918","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10919","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10920","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10921","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10922","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10923","180.455474","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10924","180.456016","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10925","180.456336","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10926","180.456542","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10927","180.457684","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10928","180.458056","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10929","180.459891","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10930","180.463636","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10931","180.464921","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10932","180.464921","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10933","180.464921","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10934","180.464921","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10935","180.468714","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10936","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10937","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10938","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10939","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10940","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10941","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10942","180.469761","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10943","180.470694","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10944","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10945","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10946","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10947","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10948","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10949","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10950","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10951","180.472210","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10952","180.473061","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10953","180.473675","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10954","180.473675","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10955","180.473675","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10956","180.474562","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10957","180.474562","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10958","180.474562","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10959","180.474562","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10960","180.481684","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10961","180.482046","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10962","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10963","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10964","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10965","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10966","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10967","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10968","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10969","180.487336","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10970","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10971","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10972","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10973","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10974","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10975","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10976","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10977","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10978","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10979","180.488393","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
